Product Name,Price,Rating,Discount Percentage,Category,Product URL,Extracted_Discount_Percentage,Extracted_Rating
(Refurbished) Lenovo ThinkPad 8th Gen Intel Core i5 Thin & Light HD Laptop (16 GB DDR4 RAM/512 GB SSD/14 (35.6 cm) HD/Windows 11/MS Office/WiFi/Bluetooth 4.1/Webcam/Intel Graphics),18999.0,3.4 out of 5 stars,(62% off),Laptop,https://www.amazon.in/Refurbished-Lenovo-ThinkPad-Bluetooth-Graphics/dp/B0DMTPY8PJ/ref=sr_1_1?dib=eyJ2IjoiMSJ9.1IiCCMDoJH8gm9k2RROaTLxLaqKJtqcNAX03SxC3f5x73zB1jSKrIVC-bqmvvN9PlA5ItZRBbfFBpOTMTRHL__y-eH-LzcDvFmDO5tFGja7CKsa5QovlTOrZdh0J8wGFeSVOHbkkzo9DavhFaYa3kEIZo3bNHs666pVhIlTCCAL1t87uQ-XmXW6-7Bjxri4eKMKDJ_LWQ-Hui-V4KdD0Ine0c-lKOPc0gBU5jLcotTs.I_BwLoooZTCiVZlAKtbkMz_C7Y7BZ5OvQj7R-qX60Hk&dib_tag=se&keywords=Laptop&qid=1738499611&sr=8-1,62.0,3.4
"Lenovo V14 G3 Intel Core i5 12th Gen 1235U /16GB/512GB SSD/Intel UHD Graphics/Windows 11/ Thin and Light Business Laptop/14.0"" FHD Display/Iron Grey/1.57 kg",36790.0,3.7 out of 5 stars,(26% off),Laptop,https://www.amazon.in/Lenovo-V14-G3-Graphics-Business/dp/B08HJWSGW6/ref=sr_1_2?dib=eyJ2IjoiMSJ9.1IiCCMDoJH8gm9k2RROaTLxLaqKJtqcNAX03SxC3f5x73zB1jSKrIVC-bqmvvN9PlA5ItZRBbfFBpOTMTRHL__y-eH-LzcDvFmDO5tFGja7CKsa5QovlTOrZdh0J8wGFeSVOHbkkzo9DavhFaYa3kEIZo3bNHs666pVhIlTCCAL1t87uQ-XmXW6-7Bjxri4eKMKDJ_LWQ-Hui-V4KdD0Ine0c-lKOPc0gBU5jLcotTs.I_BwLoooZTCiVZlAKtbkMz_C7Y7BZ5OvQj7R-qX60Hk&dib_tag=se&keywords=Laptop&qid=1738499611&sr=8-2,26.0,3.7
"Lenovo V14 G4 (2024), AMD Ryzen 3 7320U Quad Core - (8GB/512GB SSD/AMD Radeon Graphics 610M/Windows 11) Thin and Light Business Laptop/14 FHD Display/Silver/1.47 kg/MS Office 2021",25830.0,4.0 out of 5 stars,(64% off),Laptop,https://www.amazon.in/Lenovo-V14-Ryzen-7320U-Quad/dp/B0DKG7KLMN/ref=sr_1_3?dib=eyJ2IjoiMSJ9.1IiCCMDoJH8gm9k2RROaTLxLaqKJtqcNAX03SxC3f5x73zB1jSKrIVC-bqmvvN9PlA5ItZRBbfFBpOTMTRHL__y-eH-LzcDvFmDO5tFGja7CKsa5QovlTOrZdh0J8wGFeSVOHbkkzo9DavhFaYa3kEIZo3bNHs666pVhIlTCCAL1t87uQ-XmXW6-7Bjxri4eKMKDJ_LWQ-Hui-V4KdD0Ine0c-lKOPc0gBU5jLcotTs.I_BwLoooZTCiVZlAKtbkMz_C7Y7BZ5OvQj7R-qX60Hk&dib_tag=se&keywords=Laptop&qid=1738499611&sr=8-3,64.0,4.0
"Lenovo IdeaPad Slim 1 Intel Core Celeron N4020 14"" HD Thin and Light Laptop (8GB/512GB SSD/Windows 11 Home/Office 21/1Yr Warranty/Cloud Grey/1.3Kg), 82V6009LIN",23990.0,3.7 out of 5 stars,(44% off),Laptop,https://www.amazon.in/Lenovo-IdeaPad-Celeron-Warranty-82V6009LIN/dp/B0D6Z2H2HR/ref=sr_1_4?dib=eyJ2IjoiMSJ9.1IiCCMDoJH8gm9k2RROaTLxLaqKJtqcNAX03SxC3f5x73zB1jSKrIVC-bqmvvN9PlA5ItZRBbfFBpOTMTRHL__y-eH-LzcDvFmDO5tFGja7CKsa5QovlTOrZdh0J8wGFeSVOHbkkzo9DavhFaYa3kEIZo3bNHs666pVhIlTCCAL1t87uQ-XmXW6-7Bjxri4eKMKDJ_LWQ-Hui-V4KdD0Ine0c-lKOPc0gBU5jLcotTs.I_BwLoooZTCiVZlAKtbkMz_C7Y7BZ5OvQj7R-qX60Hk&dib_tag=se&keywords=Laptop&qid=1738499611&sr=8-4,44.0,3.7
"HP Laptop 255 G9 AMD Ryzen 3 3250U Dual Core - (8GB/512GB SSD/AMD Radeon Graphics) Thin and Light Business Laptop/15.6"" (39.62cm)/Black/1.47 kg",25000.0,3.2 out of 5 stars,(23% off),Laptop,https://www.amazon.in/HP-Laptop-255-G9-Ryzen/dp/B0DJCWBY7G/ref=sr_1_5?dib=eyJ2IjoiMSJ9.1IiCCMDoJH8gm9k2RROaTLxLaqKJtqcNAX03SxC3f5x73zB1jSKrIVC-bqmvvN9PlA5ItZRBbfFBpOTMTRHL__y-eH-LzcDvFmDO5tFGja7CKsa5QovlTOrZdh0J8wGFeSVOHbkkzo9DavhFaYa3kEIZo3bNHs666pVhIlTCCAL1t87uQ-XmXW6-7Bjxri4eKMKDJ_LWQ-Hui-V4KdD0Ine0c-lKOPc0gBU5jLcotTs.I_BwLoooZTCiVZlAKtbkMz_C7Y7BZ5OvQj7R-qX60Hk&dib_tag=se&keywords=Laptop&qid=1738499611&sr=8-5,23.0,3.2
"Lenovo V15 AMD Ryzen 7 7730U 15.6"" (39.62cm) FHD 250 Nits Antiglare Thin and Light Laptop (16GB/512GB SSD/Windows 11/Iron Grey/1.65 Kg) Grey",39999.0,4.2 out of 5 stars,(20% off),Laptop,https://www.amazon.in/Lenovo-Ryzen-39-62cm-Antiglare-Laptop/dp/B0D39BVJ7Y/ref=sr_1_6?dib=eyJ2IjoiMSJ9.1IiCCMDoJH8gm9k2RROaTLxLaqKJtqcNAX03SxC3f5x73zB1jSKrIVC-bqmvvN9PlA5ItZRBbfFBpOTMTRHL__y-eH-LzcDvFmDO5tFGja7CKsa5QovlTOrZdh0J8wGFeSVOHbkkzo9DavhFaYa3kEIZo3bNHs666pVhIlTCCAL1t87uQ-XmXW6-7Bjxri4eKMKDJ_LWQ-Hui-V4KdD0Ine0c-lKOPc0gBU5jLcotTs.I_BwLoooZTCiVZlAKtbkMz_C7Y7BZ5OvQj7R-qX60Hk&dib_tag=se&keywords=Laptop&qid=1738499611&sr=8-6,20.0,4.2
"HP 15, 13th Gen Intel Core i5-1334U, 16GB DDR4, 512GB SSD, (Win 11, Office 21, Silver, 1.59kg), Anti-Glare, 15.6-inch(39.6cm) FHD Laptop, Iris Xe Graphics, FHD Camera, Backlit KB, fd0316TU/fd0315TU",55990.0,3.8 out of 5 stars,(22% off),Laptop,https://www.amazon.in/HP-i5-1334U-Anti-glare-15-6-inch-Graphics/dp/B0D4LWYWF9/ref=sr_1_7?dib=eyJ2IjoiMSJ9.1IiCCMDoJH8gm9k2RROaTLxLaqKJtqcNAX03SxC3f5x73zB1jSKrIVC-bqmvvN9PlA5ItZRBbfFBpOTMTRHL__y-eH-LzcDvFmDO5tFGja7CKsa5QovlTOrZdh0J8wGFeSVOHbkkzo9DavhFaYa3kEIZo3bNHs666pVhIlTCCAL1t87uQ-XmXW6-7Bjxri4eKMKDJ_LWQ-Hui-V4KdD0Ine0c-lKOPc0gBU5jLcotTs.I_BwLoooZTCiVZlAKtbkMz_C7Y7BZ5OvQj7R-qX60Hk&dib_tag=se&keywords=Laptop&qid=1738499611&sr=8-7,22.0,3.8
"HP Laptop 255 G9 (2024), AMD Ryzen 5 5625U Hexa Core - (8GB/512GB SSD/AMD Radeon Graphics) Thin and Light Business Laptop/15.6"" (39.62cm)/Silver/1.47 kg",29999.0,4.2 out of 5 stars,(14% off),Laptop,https://www.amazon.in/HP-Laptop-255-G9-Ryzen/dp/B0DH8831VF/ref=sr_1_8?dib=eyJ2IjoiMSJ9.1IiCCMDoJH8gm9k2RROaTLxLaqKJtqcNAX03SxC3f5x73zB1jSKrIVC-bqmvvN9PlA5ItZRBbfFBpOTMTRHL__y-eH-LzcDvFmDO5tFGja7CKsa5QovlTOrZdh0J8wGFeSVOHbkkzo9DavhFaYa3kEIZo3bNHs666pVhIlTCCAL1t87uQ-XmXW6-7Bjxri4eKMKDJ_LWQ-Hui-V4KdD0Ine0c-lKOPc0gBU5jLcotTs.I_BwLoooZTCiVZlAKtbkMz_C7Y7BZ5OvQj7R-qX60Hk&dib_tag=se&keywords=Laptop&qid=1738499611&sr=8-8,14.0,4.2
"Acer Aspire Lite AMD Ryzen 5-5625U Premium Thin and Light Laptop (16 GB RAM/512 GB SSD/Windows 11 Home) AL15-41, 39.62 cm (15.6"") Full HD Display, Metal Body, Steel Gray, 1.59 KG",33490.0,3.9 out of 5 stars,(43% off),Laptop,https://www.amazon.in/5-5625U-Premium-Windows-AL15-41-Display/dp/B0DG2GCTD7/ref=sr_1_9?dib=eyJ2IjoiMSJ9.1IiCCMDoJH8gm9k2RROaTLxLaqKJtqcNAX03SxC3f5x73zB1jSKrIVC-bqmvvN9PlA5ItZRBbfFBpOTMTRHL__y-eH-LzcDvFmDO5tFGja7CKsa5QovlTOrZdh0J8wGFeSVOHbkkzo9DavhFaYa3kEIZo3bNHs666pVhIlTCCAL1t87uQ-XmXW6-7Bjxri4eKMKDJ_LWQ-Hui-V4KdD0Ine0c-lKOPc0gBU5jLcotTs.I_BwLoooZTCiVZlAKtbkMz_C7Y7BZ5OvQj7R-qX60Hk&dib_tag=se&keywords=Laptop&qid=1738499611&sr=8-9,43.0,3.9
"HP 15s, 12th Gen Intel Core i3-1215U, 8GB DDR4, 512GB SSD, (Win 11, Office 21, Silver, 1.69kg) Anti-glare, Micro-edge, 15.6-inch(39.6cm) FHD laptop, Intel UHD Graphics, HD camera, Backlit KB, fq5327tu",37374.0,4.0 out of 5 stars,(27% off),Laptop,https://www.amazon.in/HP-i3-1215U-15-6-inch-Graphics-Speakers/dp/B0BP2M7CCS/ref=sr_1_10?dib=eyJ2IjoiMSJ9.1IiCCMDoJH8gm9k2RROaTLxLaqKJtqcNAX03SxC3f5x73zB1jSKrIVC-bqmvvN9PlA5ItZRBbfFBpOTMTRHL__y-eH-LzcDvFmDO5tFGja7CKsa5QovlTOrZdh0J8wGFeSVOHbkkzo9DavhFaYa3kEIZo3bNHs666pVhIlTCCAL1t87uQ-XmXW6-7Bjxri4eKMKDJ_LWQ-Hui-V4KdD0Ine0c-lKOPc0gBU5jLcotTs.I_BwLoooZTCiVZlAKtbkMz_C7Y7BZ5OvQj7R-qX60Hk&dib_tag=se&keywords=Laptop&qid=1738499611&sr=8-10,27.0,4.0
